,tweet_id,favorites,retweets,date_time
846,761750502866649088,0,3769,2016-08-06 02:27:27+00:00
847,761745352076779520,4161,833,2016-08-06 02:06:59+00:00
848,761672994376806400,48013,28044,2016-08-05 21:19:27+00:00
849,761599872357261312,4010,1152,2016-08-05 16:28:54+00:00
850,761371037149827077,0,17439,2016-08-05 01:19:35+00:00
851,761334018830917632,5041,1406,2016-08-04 22:52:29+00:00
852,761292947749015552,4365,1052,2016-08-04 20:09:17+00:00
853,761227390836215808,5193,1515,2016-08-04 15:48:47+00:00
854,761004547850530816,11045,3361,2016-08-04 01:03:17+00:00
855,760893934457552897,3713,933,2016-08-03 17:43:45+00:00
856,760656994973933572,6410,1842,2016-08-03 02:02:14+00:00
857,760641137271070720,4845,1247,2016-08-03 00:59:13+00:00
858,760539183865880579,7364,3497,2016-08-02 18:14:06+00:00
859,760521673607086080,4089,1345,2016-08-02 17:04:31+00:00
860,760290219849637889,26046,11071,2016-08-02 01:44:48+00:00
861,760252756032651264,3842,840,2016-08-01 23:15:56+00:00
862,760190180481531904,5544,1735,2016-08-01 19:07:17+00:00
863,760153949710192640,0,30,2016-08-01 16:43:19+00:00
864,759943073749200896,5772,2006,2016-08-01 02:45:22+00:00
865,759923798737051648,14267,5422,2016-08-01 01:28:46+00:00
866,759846353224826880,6550,1899,2016-07-31 20:21:02+00:00
867,759793422261743616,5792,1843,2016-07-31 16:50:42+00:00
868,759557299618865152,4551,1151,2016-07-31 01:12:26+00:00
869,759447681597108224,8259,2380,2016-07-30 17:56:51+00:00
870,759446261539934208,1623,469,2016-07-30 17:51:13+00:00
871,759197388317847553,5909,1881,2016-07-30 01:22:17+00:00
872,759159934323924993,0,1116,2016-07-29 22:53:27+00:00
873,759099523532779520,14096,4002,2016-07-29 18:53:24+00:00
874,759047813560868866,6289,1930,2016-07-29 15:27:55+00:00
875,758854675097526272,3448,873,2016-07-29 02:40:28+00:00
876,758828659922702336,10890,3713,2016-07-29 00:57:05+00:00
877,758740312047005698,5576,1564,2016-07-28 19:06:01+00:00
878,758474966123810816,3686,959,2016-07-28 01:31:38+00:00
879,758467244762497024,4656,2133,2016-07-28 01:00:57+00:00
880,758405701903519748,5051,1841,2016-07-27 20:56:24+00:00
881,758355060040593408,3280,1022,2016-07-27 17:35:10+00:00
882,758099635764359168,18459,9594,2016-07-27 00:40:12+00:00
883,758041019896193024,2626,358,2016-07-26 20:47:17+00:00
884,757741869644341248,6667,3149,2016-07-26 00:58:34+00:00
885,757729163776290825,0,7615,2016-07-26 00:08:05+00:00
886,757725642876129280,4412,1168,2016-07-25 23:54:05+00:00
887,757611664640446465,4442,1056,2016-07-25 16:21:11+00:00
888,757597904299253760,0,289,2016-07-25 15:26:30+00:00
889,757596066325864448,4215,1019,2016-07-25 15:19:12+00:00
890,757400162377592832,14690,6589,2016-07-25 02:20:45+00:00
891,757393109802180609,5642,1671,2016-07-25 01:52:43+00:00
892,757354760399941633,4381,1364,2016-07-24 23:20:20+00:00
893,756998049151549440,6095,1913,2016-07-23 23:42:53+00:00
894,756939218950160384,6438,1928,2016-07-23 19:49:07+00:00
895,756651752796094464,4895,1247,2016-07-23 00:46:50+00:00
896,756526248105566208,10100,3457,2016-07-22 16:28:07+00:00
897,756303284449767430,3826,1068,2016-07-22 01:42:09+00:00
898,756288534030475264,42747,17071,2016-07-22 00:43:32+00:00
899,756275833623502848,6193,1475,2016-07-21 23:53:04+00:00
900,755955933503782912,7093,2761,2016-07-21 02:41:54+00:00
901,755206590534418437,15948,5144,2016-07-19 01:04:16+00:00
902,755110668769038337,20543,10685,2016-07-18 18:43:07+00:00
903,754874841593970688,0,7606,2016-07-18 03:06:01+00:00
904,754856583969079297,6682,2415,2016-07-18 01:53:28+00:00
905,754747087846248448,2508,499,2016-07-17 18:38:22+00:00
906,754482103782404096,5127,1881,2016-07-17 01:05:25+00:00
907,754449512966619136,3632,706,2016-07-16 22:55:55+00:00
908,754120377874386944,7646,2265,2016-07-16 01:08:03+00:00
909,753655901052166144,5662,2092,2016-07-14 18:22:23+00:00
910,753420520834629632,7630,3418,2016-07-14 02:47:04+00:00
911,753398408988139520,5560,1824,2016-07-14 01:19:12+00:00
912,753375668877008896,7405,2233,2016-07-13 23:48:51+00:00
913,753298634498793472,0,5466,2016-07-13 18:42:44+00:00
914,753294487569522689,3256,1001,2016-07-13 18:26:16+00:00
915,753039830821511168,35933,20074,2016-07-13 01:34:21+00:00
916,753026973505581056,3801,920,2016-07-13 00:43:15+00:00
917,752932432744185856,12211,6603,2016-07-12 18:27:35+00:00
918,752917284578922496,6726,1512,2016-07-12 17:27:23+00:00
919,752701944171524096,0,2756,2016-07-12 03:11:42+00:00
920,752682090207055872,5827,1533,2016-07-12 01:52:49+00:00
921,752660715232722944,4240,1499,2016-07-12 00:27:52+00:00
